,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,5400.0,10.0,5.0,10.0,0.506,18.691710999999998
1,5400.0,10.0,5.0,20.0,0.5073333333333333,15.097419
2,5400.0,10.0,5.0,30.0,0.5601666666666667,18.576487
3,5400.0,10.0,5.0,40.0,0.5895,20.547463
4,5400.0,10.0,5.0,50.0,0.6065,18.742906
5,5400.0,10.0,5.0,100.0,0.6493333333333333,96.894522
6,13500.0,10.0,5.0,10.0,0.496,38.751077
7,13500.0,10.0,5.0,20.0,0.5678333333333333,50.020083
8,13500.0,10.0,5.0,30.0,0.613,46.456072999999996
9,13500.0,10.0,5.0,40.0,0.6188333333333333,41.820044
10,13500.0,10.0,5.0,50.0,0.6273333333333333,34.864349
11,13500.0,10.0,5.0,100.0,0.6475,210.353114
12,27000.0,10.0,5.0,10.0,0.5398333333333334,100.06472099999999
13,27000.0,10.0,5.0,20.0,0.5923333333333334,100.940453
14,27000.0,10.0,5.0,30.0,0.6105,85.166012
15,27000.0,10.0,5.0,40.0,0.6163333333333333,97.795975
16,27000.0,10.0,5.0,50.0,0.6336666666666667,90.988811
17,27000.0,10.0,5.0,100.0,0.6498333333333334,464.29764900000004
18,5400.0,20.0,5.0,10.0,0.6911666666666667,41.355140999999996
19,5400.0,20.0,5.0,20.0,0.7346666666666667,39.923361
20,5400.0,20.0,5.0,30.0,0.7545,44.678451
21,5400.0,20.0,5.0,40.0,0.7566666666666667,44.266329
22,5400.0,20.0,5.0,50.0,0.7595,42.746707
23,5400.0,20.0,5.0,100.0,0.7946666666666666,221.737275
24,13500.0,20.0,5.0,10.0,0.6753333333333333,128.156822
25,13500.0,20.0,5.0,20.0,0.7413333333333333,137.36083200000002
26,13500.0,20.0,5.0,30.0,0.7731666666666667,138.37946100000002
27,13500.0,20.0,5.0,40.0,0.7941666666666667,131.236693
28,13500.0,20.0,5.0,50.0,0.7976666666666666,112.80918500000001
29,13500.0,20.0,5.0,100.0,0.8085,655.259868
30,27000.0,20.0,5.0,10.0,0.6578333333333334,330.82025
31,27000.0,20.0,5.0,20.0,0.7416666666666667,319.899831
32,27000.0,20.0,5.0,30.0,0.7535,294.248348
33,27000.0,20.0,5.0,40.0,0.7558333333333334,315.37195
34,27000.0,20.0,5.0,50.0,0.7585,302.317093
35,27000.0,20.0,5.0,100.0,0.7858333333333334,1552.704454
36,5400.0,30.0,5.0,10.0,0.7390000000000001,81.877872
37,5400.0,30.0,5.0,20.0,0.7771666666666667,73.76833
38,5400.0,30.0,5.0,30.0,0.7875,81.109782
39,5400.0,30.0,5.0,40.0,0.8028333333333333,80.955277
40,5400.0,30.0,5.0,50.0,0.8081666666666667,78.846368
41,5400.0,30.0,5.0,100.0,0.8256666666666667,418.795745
42,13500.0,30.0,5.0,10.0,0.7338333333333333,276.576409
43,13500.0,30.0,5.0,20.0,0.7848333333333334,270.421358
44,13500.0,30.0,5.0,30.0,0.792,293.66770499999996
45,13500.0,30.0,5.0,40.0,0.8058333333333333,264.488115
46,13500.0,30.0,5.0,50.0,0.8131666666666667,220.617019
47,13500.0,30.0,5.0,100.0,0.8301666666666667,1306.786356
48,27000.0,30.0,5.0,10.0,0.7235,651.880046
49,27000.0,30.0,5.0,20.0,0.779,651.505189
50,27000.0,30.0,5.0,30.0,0.7983333333333333,618.1279509999999
51,27000.0,30.0,5.0,40.0,0.8103333333333333,630.036988
52,27000.0,30.0,5.0,50.0,0.8079999999999999,620.464793
53,27000.0,30.0,5.0,100.0,0.8235,3152.821405
54,5400.0,40.0,5.0,10.0,0.7621666666666667,128.708068
55,5400.0,40.0,5.0,20.0,0.7986666666666666,107.87488300000001
56,5400.0,40.0,5.0,30.0,0.812,119.60811000000001
57,5400.0,40.0,5.0,40.0,0.8215,119.567167
58,5400.0,40.0,5.0,50.0,0.8331666666666667,120.04416
59,5400.0,40.0,5.0,100.0,0.8438333333333333,626.754936
60,13500.0,40.0,5.0,10.0,0.7406666666666667,455.597583
61,13500.0,40.0,5.0,20.0,0.7928333333333333,474.55416900000006
62,13500.0,40.0,5.0,30.0,0.8016666666666666,470.69205300000004
63,13500.0,40.0,5.0,40.0,0.8205,441.48220499999996
64,13500.0,40.0,5.0,50.0,0.8275,404.246946
65,13500.0,40.0,5.0,100.0,0.85,2263.795491
66,27000.0,40.0,5.0,10.0,0.7426666666666667,1267.190321
67,27000.0,40.0,5.0,20.0,0.8023333333333333,1179.2804820000001
68,27000.0,40.0,5.0,30.0,0.8196666666666667,1203.474274
69,27000.0,40.0,5.0,40.0,0.8258333333333333,1191.358778
70,27000.0,40.0,5.0,50.0,0.8271666666666667,1192.237387
71,27000.0,40.0,5.0,100.0,0.8440000000000001,6045.902539
72,5400.0,50.0,5.0,10.0,0.7578333333333334,190.004248
73,5400.0,50.0,5.0,20.0,0.8055,171.680851
74,5400.0,50.0,5.0,30.0,0.8190000000000001,182.835802
75,5400.0,50.0,5.0,40.0,0.826,177.232046
76,5400.0,50.0,5.0,50.0,0.8381666666666666,183.746616
77,5400.0,50.0,5.0,100.0,0.8485,905.980686
78,13500.0,50.0,5.0,10.0,0.7593333333333333,652.566174
79,13500.0,50.0,5.0,20.0,0.797,680.101188
80,13500.0,50.0,5.0,30.0,0.8115,697.591803
81,13500.0,50.0,5.0,40.0,0.8241666666666667,650.1162360000001
82,13500.0,50.0,5.0,50.0,0.8325,621.9048769999999
83,13500.0,50.0,5.0,100.0,0.8536666666666667,3391.1948350000002
84,27000.0,50.0,5.0,10.0,0.762,1828.670937
85,27000.0,50.0,5.0,20.0,0.8135,1770.517623
86,27000.0,50.0,5.0,30.0,0.8265,1778.878218
87,27000.0,50.0,5.0,40.0,0.8318333333333333,1773.965031
88,27000.0,50.0,5.0,50.0,0.84,1701.59555
89,27000.0,50.0,5.0,100.0,0.85,8854.876584
90,5400.0,100.0,5.0,10.0,0.7821666666666667,708.858729
91,5400.0,100.0,5.0,20.0,0.8161666666666667,682.669044
92,5400.0,100.0,5.0,30.0,0.8293333333333334,701.183848
93,5400.0,100.0,5.0,40.0,0.833,691.944262
94,5400.0,100.0,5.0,50.0,0.8343333333333334,682.816292
95,5400.0,100.0,5.0,100.0,0.8511666666666666,3452.394618
96,13500.0,100.0,5.0,10.0,0.7935,2731.706173
97,13500.0,100.0,5.0,20.0,0.8208333333333333,2852.189693
98,13500.0,100.0,5.0,30.0,0.8283333333333334,2834.774925
99,13500.0,100.0,5.0,40.0,0.8345,2735.344799
100,13500.0,100.0,5.0,50.0,0.8398333333333333,2894.851095
101,13500.0,100.0,5.0,100.0,0.8490000000000001,14306.418937
102,27000.0,100.0,5.0,10.0,0.7916666666666666,7489.646151999999
103,27000.0,100.0,5.0,20.0,0.8295,7290.155294
104,27000.0,100.0,5.0,30.0,0.8418333333333333,7226.616276000001
105,27000.0,100.0,5.0,40.0,0.8461666666666666,6923.180522
106,27000.0,100.0,5.0,50.0,0.8463333333333334,7229.347406
107,27000.0,100.0,5.0,100.0,0.8473333333333334,35803.199139
108,5400.0,10.0,10.0,10.0,0.5005,31.905549
109,5400.0,10.0,10.0,20.0,0.5445,25.342348
110,5400.0,10.0,10.0,30.0,0.5995,31.151953000000002
111,5400.0,10.0,10.0,40.0,0.6328333333333334,36.483033
112,5400.0,10.0,10.0,50.0,0.6455,35.759758000000005
113,5400.0,10.0,10.0,100.0,0.6851666666666667,180.632627
114,13500.0,10.0,10.0,10.0,0.5298333333333334,64.289917
115,13500.0,10.0,10.0,20.0,0.6431666666666667,88.612922
116,13500.0,10.0,10.0,30.0,0.6848333333333333,85.05125799999999
117,13500.0,10.0,10.0,40.0,0.6793333333333333,67.583784
118,13500.0,10.0,10.0,50.0,0.6673333333333333,62.788279
119,13500.0,10.0,10.0,100.0,0.6856666666666666,369.660417
120,27000.0,10.0,10.0,10.0,0.5710000000000001,160.059268
121,27000.0,10.0,10.0,20.0,0.6361666666666667,159.28008799999998
122,27000.0,10.0,10.0,30.0,0.6473333333333333,126.899272
123,27000.0,10.0,10.0,40.0,0.6478333333333334,147.687547
124,27000.0,10.0,10.0,50.0,0.667,148.749991
125,27000.0,10.0,10.0,100.0,0.6866666666666666,688.270801
126,5400.0,20.0,10.0,10.0,0.7366666666666667,80.47656500000001
127,5400.0,20.0,10.0,20.0,0.7861666666666667,67.665222
128,5400.0,20.0,10.0,30.0,0.8298333333333333,85.829466
129,5400.0,20.0,10.0,40.0,0.8421666666666666,75.00765
130,5400.0,20.0,10.0,50.0,0.8491666666666666,77.43441
131,5400.0,20.0,10.0,100.0,0.8735,398.048114
132,13500.0,20.0,10.0,10.0,0.7273333333333334,189.597375
133,13500.0,20.0,10.0,20.0,0.8185,231.83908799999998
134,13500.0,20.0,10.0,30.0,0.8508333333333333,230.97747200000003
135,13500.0,20.0,10.0,40.0,0.8655,214.01192700000001
136,13500.0,20.0,10.0,50.0,0.8665,184.126802
137,13500.0,20.0,10.0,100.0,0.8863333333333333,1101.064966
138,27000.0,20.0,10.0,10.0,0.762,507.44605099999995
139,27000.0,20.0,10.0,20.0,0.8461666666666666,482.16951900000004
140,27000.0,20.0,10.0,30.0,0.8563333333333333,418.338097
141,27000.0,20.0,10.0,40.0,0.8618333333333333,457.369427
142,27000.0,20.0,10.0,50.0,0.8673333333333333,451.244804
143,27000.0,20.0,10.0,100.0,0.88,2241.106028
144,5400.0,30.0,10.0,10.0,0.8245,132.655631
145,5400.0,30.0,10.0,20.0,0.8643333333333333,112.93108899999999
146,5400.0,30.0,10.0,30.0,0.8801666666666667,133.05998300000002
147,5400.0,30.0,10.0,40.0,0.892,129.151838
148,5400.0,30.0,10.0,50.0,0.8951666666666667,130.99229
149,5400.0,30.0,10.0,100.0,0.9126666666666666,697.276553
150,13500.0,30.0,10.0,10.0,0.8345,370.172841
151,13500.0,30.0,10.0,20.0,0.8826666666666667,396.34204500000004
152,13500.0,30.0,10.0,30.0,0.9006666666666666,408.619212
153,13500.0,30.0,10.0,40.0,0.9071666666666668,377.65542200000004
154,13500.0,30.0,10.0,50.0,0.9091666666666668,336.954529
155,13500.0,30.0,10.0,100.0,0.9183333333333332,1951.0121510000001
156,27000.0,30.0,10.0,10.0,0.8491666666666666,887.400595
157,27000.0,30.0,10.0,20.0,0.8948333333333334,875.7229990000001
158,27000.0,30.0,10.0,30.0,0.9083333333333332,844.830015
159,27000.0,30.0,10.0,40.0,0.917,857.243844
