bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
5400,50,20,50,0.940666667,4.050872
5400,50,20,100,0.9455,7.704773
5400,50,25,10,0.907,0.927515
5400,50,25,20,0.929666667,1.658769
5400,50,25,30,0.937333333,2.393787
5400,50,25,40,0.9405,3.156346
5400,50,25,50,0.9395,4.220269
5400,50,25,100,0.946333333,7.599451
5400,100,5,10,0.798166667,0.79416
5400,100,5,20,0.824166667,1.389259
5400,100,5,30,0.83,1.975747
5400,100,5,40,0.833833333,2.58293
5400,100,5,50,0.835,3.166408
5400,100,5,100,0.840666667,6.364833
5400,100,10,10,0.8995,1.789229
5400,100,10,20,0.921666667,2.659817
5400,100,10,30,0.930166667,4.072272
5400,100,10,40,0.932,5.48879
5400,100,10,50,0.932333333,6.463164
5400,100,10,100,0.936,12.396362
5400,100,15,10,0.911166667,1.523034
5400,100,15,20,0.931166667,2.811161
5400,100,15,30,0.938333333,4.251844
5400,100,15,40,0.942666667,5.588251
5400,100,15,50,0.941833333,6.922968
5400,100,15,100,0.945333333,14.244089
5400,100,20,10,0.904333333,1.469072
5400,100,20,20,0.927,2.756722
5400,100,20,30,0.934,3.913849
5400,100,20,40,0.937166667,5.227764
5400,100,20,50,0.940666667,6.832354
5400,100,20,100,0.942333333,13.413754
5400,100,25,10,0.906666667,1.549191
5400,100,25,20,0.925333333,2.917922
5400,100,25,30,0.934,4.236137
5400,100,25,40,0.939,5.536671
5400,100,25,50,0.9395,7.159831
5400,100,25,100,0.943333333,14.455425
5400,100,25,150,0.946,21.843752
5400,100,25,200,0.947333333,29.059238
13500,10,5,10,0.786166667,0.345282
13500,10,5,20,0.814666667,0.496831
13500,10,5,30,0.825666667,0.667216
13500,10,5,40,0.834166667,0.823554
13500,10,5,50,0.836833333,1.007458
13500,10,5,100,0.848833333,1.852627
13500,10,10,10,0.9,0.528579
13500,10,10,20,0.914833333,0.972933
13500,10,10,30,0.923833333,1.463004
13500,10,10,40,0.926833333,1.972803
13500,10,10,50,0.929166667,2.07295
13500,10,10,100,0.932333333,3.905677
13500,10,15,10,0.913833333,0.64727
13500,10,15,20,0.935666667,1.094075
13500,10,15,30,0.943,1.574117
13500,10,15,40,0.946166667,2.134868
13500,10,15,50,0.9475,2.773877
13500,10,15,100,0.953833333,4.78211
13500,10,20,10,0.913166667,0.649462
13500,10,20,20,0.9355,1.133497
13500,10,20,30,0.941166667,1.68024
13500,10,20,40,0.947,2.135996
13500,10,20,50,0.948666667,2.59789
13500,10,20,100,0.953333333,5.040065
13500,10,25,10,0.915666667,0.613329
13500,10,25,20,0.936166667,1.061132
13500,10,25,30,0.946,1.520769
13500,10,25,40,0.948166667,1.971973
13500,10,25,50,0.948666667,2.415924
13500,10,25,100,0.953333333,4.745081
13500,20,5,10,0.785333333,0.433851
13500,20,5,20,0.822666667,0.71811
13500,20,5,30,0.831666667,0.979776
13500,20,5,40,0.835,1.25243
13500,20,5,50,0.841166667,1.53592
13500,20,5,100,0.845666667,2.896262
13500,20,10,10,0.907833333,0.784889
13500,20,10,20,0.924666667,1.39339
13500,20,10,30,0.931333333,1.936791
13500,20,10,40,0.932,2.555153
13500,20,10,50,0.932833333,3.134698
13500,20,10,100,0.935,6.539912
13500,20,15,10,0.919666667,1.0487
13500,20,15,20,0.937833333,1.809699
13500,20,15,30,0.943666667,2.578007
13500,20,15,40,0.9485,3.48828
13500,20,15,50,0.950833333,4.031646
13500,20,15,100,0.954833333,7.969367
13500,20,20,10,0.923,0.988533
13500,20,20,20,0.942833333,1.820133
13500,20,20,30,0.949,2.667847
13500,20,20,40,0.9505,3.43284
13500,20,20,50,0.952666667,4.250577
13500,20,20,100,0.955166667,8.433796
13500,20,25,10,0.919833333,0.92082
13500,20,25,20,0.9395,1.709686
13500,20,25,30,0.948166667,2.454567
13500,20,25,40,0.951333333,3.195007
13500,20,25,50,0.9545,3.962188
13500,20,25,100,0.956166667,7.79707
13500,30,5,10,0.812333333,0.565947
13500,30,5,20,0.827833333,0.907541
13500,30,5,30,0.832833333,1.521518
13500,30,5,40,0.841,1.939069
13500,30,5,50,0.840166667,2.137692
13500,30,5,100,0.8485,4.058189
13500,30,10,10,0.9175,1.100043
13500,30,10,20,0.929,2.059316
13500,30,10,30,0.932,2.853745
13500,30,10,40,0.934666667,4.175094
13500,30,10,50,0.937333333,5.4329
13500,30,10,100,0.939833333,9.328738
13500,30,15,10,0.927,1.349103
13500,30,15,20,0.942166667,2.44612
13500,30,15,30,0.9475,3.514807
13500,30,15,40,0.949166667,4.672321
13500,30,15,50,0.951166667,5.934425
13500,30,15,100,0.9565,11.861489
13500,30,20,10,0.921833333,1.347864
13500,30,20,20,0.942833333,2.529899
13500,30,20,30,0.945666667,3.713771
13500,30,20,40,0.952666667,4.896685
13500,30,20,50,0.954166667,6.550465
13500,30,20,100,0.9565,12.53437
13500,30,25,10,0.922333333,1.298158
13500,30,25,20,0.940166667,2.429253
13500,30,25,30,0.9485,3.737821
13500,30,25,40,0.9525,4.505512
13500,30,25,50,0.955166667,5.449479
13500,30,25,100,0.958,10.924828
13500,40,5,10,0.8015,0.634986
13500,40,5,20,0.832166667,1.147937
13500,40,5,30,0.8305,1.665898
13500,40,5,40,0.837,2.192065
13500,40,5,50,0.845333333,2.673934
13500,40,5,100,0.85,5.094085
13500,40,10,10,0.918,1.307068
13500,40,10,20,0.931833333,2.568635
13500,40,10,30,0.936666667,3.670991
13500,40,10,40,0.939333333,4.778981
13500,40,10,50,0.9415,6.143437
13500,40,10,100,0.943166667,11.411488
13500,40,15,10,0.927666667,1.721642
13500,40,15,20,0.946166667,3.326296
13500,40,15,30,0.949333333,5.155609
13500,40,15,40,0.953333333,6.015795
13500,40,15,50,0.953833333,7.268709
13500,40,15,100,0.957166667,15.720586
13500,40,20,10,0.9245,1.501884
13500,40,20,20,0.942333333,2.90679
13500,40,20,30,0.9495,4.333506
13500,40,20,40,0.950833333,5.734332
13500,40,20,50,0.954166667,7.056552
13500,40,20,100,0.9575,13.899076
13500,40,25,10,0.927333333,1.712555
13500,40,25,20,0.947333333,3.236176
13500,40,25,30,0.951166667,5.08265
13500,40,25,40,0.9545,6.188402
13500,40,25,50,0.957333333,7.656211
13500,40,25,100,0.958,15.883832
13500,50,5,10,0.812833333,0.730504
13500,50,5,20,0.832166667,1.3321
13500,50,5,30,0.836833333,1.949178
13500,50,5,40,0.844166667,2.698515
13500,50,5,50,0.845333333,3.43409
13500,50,5,100,0.846666667,6.937799
13500,50,10,10,0.921166667,1.552046
13500,50,10,20,0.931166667,2.937429
13500,50,10,30,0.936166667,4.563098
13500,50,10,40,0.938833333,6.132791
13500,50,10,50,0.938166667,7.119388
13500,50,10,100,0.942833333,14.204188
13500,50,15,10,0.926666667,2.011551
13500,50,15,20,0.944,3.797722
13500,50,15,30,0.951833333,5.555606
13500,50,15,40,0.949666667,7.095311
13500,50,15,50,0.951833333,8.758425
13500,50,15,100,0.955,17.390632
13500,50,20,10,0.927,1.915279
13500,50,20,20,0.945333333,3.606868
13500,50,20,30,0.9485,5.26571
13500,50,20,40,0.9535,7.114455
