,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
0,27000.0,10.0,20.0,10.0,0.5306666666666666,253.670677
1,27000.0,10.0,20.0,20.0,0.5998333333333333,243.004037
2,27000.0,10.0,20.0,30.0,0.6191666666666666,195.113987
3,27000.0,10.0,20.0,40.0,0.6266666666666667,218.98608
4,27000.0,10.0,20.0,50.0,0.646,242.832352
5,27000.0,10.0,20.0,100.0,0.6706666666666666,1406.196209
6,27000.0,20.0,20.0,10.0,0.7591666666666667,652.860966
7,27000.0,20.0,20.0,20.0,0.8448333333333333,602.001925
8,27000.0,20.0,20.0,30.0,0.8633333333333333,562.005616
9,27000.0,20.0,20.0,40.0,0.8745,602.660506
10,27000.0,20.0,20.0,50.0,0.8828333333333334,568.784929
11,27000.0,20.0,20.0,100.0,0.902,2778.498224
12,27000.0,30.0,20.0,10.0,0.8485,973.457852
13,27000.0,30.0,20.0,20.0,0.9006666666666666,962.910177
14,27000.0,30.0,20.0,30.0,0.919,943.776069
15,27000.0,30.0,20.0,40.0,0.9248333333333333,948.843781
16,27000.0,30.0,20.0,50.0,0.9316666666666666,934.389644
17,27000.0,30.0,20.0,100.0,0.943,4979.570851
18,27000.0,40.0,20.0,10.0,0.8948333333333334,1591.120482
19,27000.0,40.0,20.0,20.0,0.9296666666666666,1515.763554
20,27000.0,40.0,20.0,30.0,0.9415,1496.517376
21,27000.0,40.0,20.0,40.0,0.9485,1414.933272
22,27000.0,40.0,20.0,50.0,0.9505,1402.127011
23,27000.0,40.0,20.0,100.0,0.9558333333333333,7231.363819
24,27000.0,50.0,20.0,10.0,0.907,2031.959237
25,27000.0,50.0,20.0,20.0,0.943,1964.103748
26,27000.0,50.0,20.0,30.0,0.9488333333333333,2097.585332
27,27000.0,50.0,20.0,40.0,0.9536666666666667,2105.554517
28,27000.0,50.0,20.0,50.0,0.9543333333333334,1896.79617
29,27000.0,50.0,20.0,100.0,0.9608333333333333,9739.112986
30,27000.0,100.0,20.0,10.0,0.9451666666666667,6447.32647
31,27000.0,100.0,20.0,20.0,0.9591666666666666,6241.538481
32,27000.0,100.0,20.0,30.0,0.9633333333333334,6220.249224
33,27000.0,100.0,20.0,40.0,0.9636666666666667,6038.883961
34,27000.0,100.0,20.0,50.0,0.9665,6490.735314
35,27000.0,100.0,20.0,100.0,0.9675,32041.224909
36,27000.0,10.0,25.0,10.0,0.533,275.934646
37,27000.0,10.0,25.0,20.0,0.5995,261.066122
38,27000.0,10.0,25.0,30.0,0.6186666666666667,193.732509
39,27000.0,10.0,25.0,40.0,0.6253333333333333,215.145453
40,27000.0,10.0,25.0,50.0,0.6438333333333334,241.632454
41,27000.0,10.0,25.0,100.0,0.6726666666666666,1032.091418
42,27000.0,20.0,25.0,10.0,0.7586666666666667,621.937623
43,27000.0,20.0,25.0,20.0,0.8476666666666667,591.51652
44,27000.0,20.0,25.0,30.0,0.8635,533.300969
45,27000.0,20.0,25.0,40.0,0.8755,569.326924
46,27000.0,20.0,25.0,50.0,0.8831666666666667,571.534579
47,27000.0,20.0,25.0,100.0,0.9033333333333333,2879.311652
48,27000.0,30.0,25.0,10.0,0.8523333333333334,995.847993
49,27000.0,30.0,25.0,20.0,0.9006666666666666,962.580744
50,27000.0,30.0,25.0,30.0,0.9178333333333333,944.570938
51,27000.0,30.0,25.0,40.0,0.9258333333333333,953.414545
52,27000.0,30.0,25.0,50.0,0.9323333333333333,947.830219
53,27000.0,30.0,25.0,100.0,0.9441666666666667,4829.026536
54,27000.0,40.0,25.0,10.0,0.8951666666666667,1491.026615
55,27000.0,40.0,25.0,20.0,0.9308333333333333,1426.135819
56,27000.0,40.0,25.0,30.0,0.9415,1470.341827
57,27000.0,40.0,25.0,40.0,0.9486666666666667,1466.076601
58,27000.0,40.0,25.0,50.0,0.9495,1449.616567
59,27000.0,40.0,25.0,100.0,0.9563333333333334,7209.170268
60,27000.0,50.0,25.0,10.0,0.9066666666666666,2059.786383
61,27000.0,50.0,25.0,20.0,0.9436666666666667,1999.986294
62,27000.0,50.0,25.0,30.0,0.9501666666666667,2033.01645
63,27000.0,50.0,25.0,40.0,0.9526666666666667,2039.845154
64,27000.0,50.0,25.0,50.0,0.9545,2005.771807
65,27000.0,50.0,25.0,100.0,0.9621666666666666,9999.689922
