bootstrap_size;no_features;max_depth;no_trees;Accuracy;Seed set
5400;60;25;10;0,886833333;0
5400;60;25;20;0,925666667;0
5400;60;25;30;0,935666667;0
5400;60;25;40;0,939333333;0
5400;60;25;50;0,944666667;0
5400;60;35;10;0,886333333;0
5400;60;35;20;0,929833333;0
5400;60;35;30;0,928833333;0
5400;60;35;40;0,94;0
5400;60;35;50;0,942166667;0
5400;60;45;10;0,901166667;0
5400;60;45;20;0,924333333;0
5400;60;45;30;0,937833333;0
5400;60;45;40;0,940333333;0
5400;60;45;50;0,941333333;0
5400;60;55;10;0,883;0
5400;60;55;20;0,9215;0
5400;60;55;30;0,932166667;0
5400;60;55;40;0,9395;0
5400;60;55;50;0,942;0
5400;80;5;10;0,794666667;0
5400;80;5;20;0,813666667;0
5400;80;5;30;0,829;0
5400;80;5;40;0,842833333;0
5400;80;5;50;0,846166667;0
5400;80;15;10;0,905166667;0
5400;80;15;20;0,932333333;0
5400;80;15;30;0,94;0
5400;80;15;40;0,943;0
5400;80;15;50;0,947;0
5400;80;25;10;0,901333333;0
5400;80;25;20;0,936833333;0
5400;80;25;30;0,936666667;0
5400;80;25;40;0,9445;0
5400;80;25;50;0,9465;0
5400;80;35;10;0,902833333;0
5400;80;35;20;0,931666667;0
5400;80;35;30;0,9395;0
5400;80;35;40;0,9425;0
5400;80;35;50;0,945666667;0
5400;80;45;10;0,900666667;0
5400;80;45;20;0,932166667;0
5400;80;45;30;0,9345;0
5400;80;45;40;0,944833333;0
5400;80;45;50;0,947166667;0
5400;80;55;10;0,908;0
5400;80;55;20;0,932166667;0
5400;80;55;30;0,9385;0
5400;80;55;40;0,943333333;0
5400;80;55;50;0,945666667;0
5400;100;5;10;0,782166667;1
5400;100;5;20;0,816166667;1
5400;100;5;30;0,829333333;1
5400;100;5;40;0,833;1
5400;100;5;50;0,834333333;1
5400;100;5;100;0,851166667;1
5400;100;10;10;0,899333333;1
5400;100;10;20;0,927;1
5400;100;10;30;0,933666667;1
5400;100;10;40;0,937833333;1
5400;100;10;50;0,9415;1
5400;100;10;100;0,9455;1
5400;100;15;10;0,905333333;1
5400;100;15;20;0,932833333;1
5400;100;15;30;0,943;1
5400;100;15;40;0,945833333;1
5400;100;15;50;0,949833333;1
5400;100;15;100;0,951833333;1
5400;100;20;10;0,905166667;1
5400;100;20;20;0,933166667;1
5400;100;20;30;0,943;1
5400;100;20;40;0,946;1
5400;100;20;50;0,950333333;1
5400;100;20;100;0,952166667;1
5400;100;25;10;0,905166667;1
5400;100;25;20;0,933166667;1
5400;100;25;30;0,943;1
5400;100;25;40;0,946;1
5400;100;25;50;0,950333333;1
5400;100;25;100;0,952166667;1
5400;100;25;150;0,953333333;1
5400;100;25;200;0,954333333;1
